"16","1 / Bokillustrationer","Z. Topelius: Läsning för barn, fjerde boken","","","Helsingfors 1871. G. W. Edlunds förlag. Titelblad och 5 illustrationer, pennteckningar i sepia med täckvitt , litogr. av F. Tilgmann, Helsingfors.1. Titelbild: En mor berättande sagor för 4 barn; texten inramad av en arabesk av sagogestalter som stiger upp ur brinnande lampa.2. Prins Florestan väcker Törnrosa, signerad med monogram. AE3. Olle på skidor4. Mirza och Mirjam i öknen5. Pekkas äventyr med vargen6. Finbul fångar solens barn","","Teckningar","","2277",""
"17","16","Porträtt av Drottning Henrietta Maria av England (1609-1669)","Porträtt av Ebba Brahe","","Bröstbild i fas av en ung, dekolletterad dam, rikt smyckad med pärlor i det uppsatta håret, vid öronen, kring halsen och på den dyrbara dräkten. Höga ögonbryn, stora, tunga ögonlock, stor näsa. Mörk bakgr. 62 x 51. Dat: 1872. På baksidan intyg av Berta Edelfelt. Detta porträtt har liksom övriga original eller gamla repliker förest. samma person (två på Gripsholm, ett på Skokloster, ett i Sinebrychoffska samlingen) tidigare ansetts föreställa Ebba Brahe , men har numera identifierats såsom föreställande kung Karl I av England gemål. Kopierat i september 1872 på Gripsholm efter n:o 1744 i samlingarna (Kat. 1927) som sannolikt återgår på ett kopparstick av Van Dyck.","","","","2321;2360;2353;2325",""
"18","11","Porträtt av Friherrinnan Hulda von Born, f. Berndtson (1857–1891)","","","Bröstbild av en ung flicka i fas åt höger med utslaget brunt hår. Ljus, höghalsad klänning. Oval. Signerad in duplo: A. Edelfelt 1872. På baksidan antagligen av Edelfelt: Till Karin von Born 1891. Målad i Helsingfors vårvintern 1872.","","","","2307;2420;4037",""
"19","46","Rokokodam (Le billet doux)","Calle Holms tavla","","Rokokointeriör; vid ett förgyllt konsolbord t.v. står en ung dam, halvfigur, i gul sidenklänning med lilafärgat blomstermönster, skrivande ett brev. På bordet en blomsterbulkett och en ""billet doux"". På väggen en tavla av amoretter efter en tavla av Boucher i Louvren. 114,5 x 87,5. Signerad Alb. Edelfelt Paris 1874. Målad i Paris juli - september 1874 på en beställning av borgmästeren C. M. Holm i Borgå efter en skiss, utförd i Antwerpen våren samma år. Vid Finska konstföreningens dukattävlan 1875 belönad med dåvarande högsta priset 20 dukater.","Beställningen gjord redan då Edelfelt reste till konstakademien i Antwerpen hösten 1873, men motivet klarnade först senare","Olja","","2417;2477;2511;2584;2643;2800;2904;2953;3074;3076;3099;3119;3144;3190;3226;3229;3234;3254;3268;3273;3286;3301;3316;3320;3338;3356;3393;3422;3434;3453;3497;3502;3527;3574;3603;3890;3920;3938;4081;3075;3120;3139;3155;3233;16891;3274;3280;3281;3531;3575;3188;3463;3904;3905;3913",""
"20","20","Porträtt av Alexandra Edelfelt (1833-1901)","","","Oljemålning, utförd i Finland omkring 1872-1873.","","Olja","","2420",""
"21","32, 33, 34","","","Studiehuvud","32: Bröstbild av en ung dam i ljusblå sidenklänning med guldbrosch och svart spetsschal. Kring halsen ett svart sidenband med guldmedaljong. Inom målad oval. 32 x 27. Signerad AE 73. Sannolikt ett av de tre studiehuvuden från Antwerpen som ställdes ut under no 10 på Finska konstföreningens exposition 187633: Bröstbild i profil åt vänster av en ung italienska. Över axlarna en schal med gröna, rosa och grå ränder. Grå bakgrund. 37 x 32. Signerad AE 73. Utställd på samma exposition34: Dam i svart. Bröstbild i profil åt höger av en ung dam med svart hår och böjd näsa, svarta ögonbryn och mörka ögon. Svart klänning med smal svart spetskrage kring halsen, svart stenkolsbrosch. I örat svarta stenkolspärlor. Svart bakgrund. 47 x 37. Signerad A. E. Antwerpen 1873.","","","","2479;2578","4184;17323;4689;4153;4171;4211"
"22","31","Studie av en man i brunt","","Skomakaren Lambrecht","Bröstbild av en omkring 50 års man i brun kostym och stor, svart halsduk, hitvänd profil åt vänster. Benat, grått hår, kort grått skägg och små mustascher. Brun bakgrund. 45 x 37. Signerad (delvis mycket otydligt): Albert Edelfelt Antwerpen 1873 (signeringen gjord omkring 1903). Ett av de tre ""Studiehuvuden från Antwerpen"", som under nummer 10 deltog i Finska Konstföreningens utställning 1876.","Skomakaren hade suttit modell på konstakademien i Antwerpen hösten 1873, troligen identisk med ""Studie av en man i brunt"", Hintze nr. 31.","","Finska Konstföreningens utställning 1876","2462","4689;4153;4171;4211;4184;4186"
"23","","","Perikles hos den döende Anaxagoras","Perikles hos den döende Anaxagoras","","","","","2490;2498;2530;2536",""
"24","30","Manlig modell","","","Stående manlig modell med naken överkropp, huvudet i halv fas åt vänster. Halvfigur i naturlig storlek. Vänstra handen vid sidan. 92 x 72.  Signerad AE 31 X 73. Edelfelts första målade studie efter naken modell, utförd i oktober 1873 vid akademin i Antwerpen.","Samma modell verkar återkomma i senare studier efter naken modell.","","","2491;2530;2536","4163;4171;4153;4065;4184;4211;4245"
"25","","","Moses moder","Moses moder","","Kompositionsstudie vid konstakademien i Antwerpen, utförd i november 1873","","","2543;2560","2629"
"26","38","Från Neros förföljelser mot de kristna","","","I ett odaterat brev från Antwerpen, anfört av Söderhjelm i ""Profiler"" (1913, s. 194), omnämner Edelfelt att han i december 1873 utfört en akademikomposition med ett tiotal figurer. I handteckningssamlingen i Ateneum finns en kartongteckning i kol, signerad och daterad Anvers II/XII 73, med sju draperade figurer församlade i ett rum, i vilket aposteln Petrus inträder med handen utsträckt till välsignelse, medan en kvinna håller en brinnande lampa framför honom. Sannolikt identisk med den av Edelfelt omnämnda kompositionen.","Kan kompositionsövningen som nämns i brevet från 19 november 1873 vara en första idé och utkast till Hintze nr 38?","Kol","","2588;2806;2605;2597","2629"
"27","80","Porträtt av kommerserådinnan Elin Eklöf vid 18 års ålder","Eklöfs beställning","","Sittande ung dam med långa mörkbruna lockar, ljusgrå klänning med vit krage och guldmedaljong i svart band kring halsen. Halvfigur i halvfas åt höger. I högra handen en bok. Mörkgrå bakgrund. 80 x 67. Signerad: A. Edelfelt 1876. Målat i september 1876 för 500 mk i enlighet med en beställning som Edelfelt fått 1874 av dåvarande konsul Eklöf.","Beställningen gällde inte porträttet från början, därför bollar Edelfelt med olika idéer i Paris.","","","2607;2904;2953;2960;2975;3100;3120;3235;3274;3389;3705;3946;4179;4214;4304;4454;3234;4209;17158;4458;5980",""
"28","","","","Illustration i brev","","kostymer från maskeraden vid akademin i Antwerpen i slutet av december 1873","","","706",""
"29","","","","Illustration i brev","","de två medpassagerarna på ångbåten, brev till Alexandra Edelfelt 28.9.1873","","","688;2375",""
"30","","","","Teckningar från Reval","","","","","2373",""
"31","","","","Illustration i brev","","de tre däckspassagerarna på ångbåten Porthan, brev till Alexandra Edelfelt 28.9.1873","","","688;2378",""
"32","","","","Illustration i brev","","M. Joseph Van Loon, brev till Alexandra Edelfelt 2.10.1873","","","690",""
"33","","","","Illustration i brev","","två kvinnor i folkdräkt, brev till Alexandra Edelfelt 2.10.1873","","","690",""
"34","","","","Illustration i brev","","två katolska präster, brev till Alexandra Edelfelt 2.10.1873","","","690",""
"35","","","","Illustration i brev","","skomakare Lambrecht står på ett bord och berättar om sina bedrifter under 1848 i Frankrike, omgiven av lyssnande akademielever, brev till Alexandra Edelfelt 18.10.1873","","","693",""
"36","","","","Illustration i brev","","Van Lerius, brev till Alexandra Edelfelt 29.10.1873","","","695;2493",""
"37","","","","Illustration i brev","","Claus och Anthonies, brev till Alexandra Edelfelt allhelgonadagen 1873","","","696",""
"38","","","","Illustration i brev","","Arthur, Devey Bates, Adams, Dubois, med anteckning om ålder, brev till Alexandra EDelfelt allhelgonadagen 1873","","","696",""
"39","","","","Illustration i brev","","Matthei, Boudry, de Pape, med ålder, brev till Alexandra Edelfelt allhelgonadagen 1873","","","696",""
"40","","","","Illustration i brev","","Mr. Even, brev till Alexandra Edelfelt 8.11.1873","","","697",""
"41","","","","Illustration i brev","","Mr. Lenærts, brev till Alexandra Edelfelt 13.11.1873","","","698",""
"42","","","","Illustration i brev","","Neros moder Agrippina, brev till Alexandra Edelfelt 19.11.1873","","","699",""
"43","","","","Illustration i brev","","man som talat svenska med finsk dialekt, brev till Alexandra Edelfelt 14 och 15.12.1873","","","704",""
"44","","","","Illustration i brev","","Dekoration på balen: byst av Rubens, förfärdigad av Peeters och de la Montagne, brev till Alexandra Edelfelt 23.12.1873","","","706",""
"45","","","","Illustration i brev","","fönster med utsikt mot trång gränd, brev till Alexandra Edelfelt 19.7.1872","","","671",""
"46","","","","Illustration i brev","","Moberger, brev till Alexandra Edelfelt 8.8.1872","","","676;2182",""
"47","","","","Illustration i brev","","Madame Matthei, brev till Alexandra Edelfelt 2.1.1874","","","708",""
"49","","","","Illustration i brev","","Fischer, brev  till Alexandra Edelfelt 14.1.1874","","","710",""
"50","","","","Illustration i brev","","Scriba, brev till Alexandra Edelfelt 14.1.1874","","","710",""
"51","39","Manlig modellstudie","Torsen för concoursen","","Sittande gubbe med naken överkropp, halvfigur i naturlig storlek, profil åt vänster. Målad vid akademin i Antwerpen för dess tävlan i måleri i mars 1874","","Olja på papp","","2762;2900;2933;2947;2967;2968;3016;3056;3152;3216;2919;2928;16270;3033;3113;16274",""
"53","","","Skelett","Skelettstudie","","Utförd i Antwerpen i februari 1874 hos studiekamraten Sidney Adams som övning inför konstakademiens concours","","","2806",""
"54","21","Jude som säljer stövlar","Juden","","Scen från Salutorget i Helsingfors vid ""Kejsarinnans sten"" en grå vinterdag. I förgrunden till vänster en jude i stövlar, skärmmössa och lång ""kaftan"" med pälskrage; han visar en stövel åt en bonde och hans pojke som sitter vid ett lass till höger. Några stövlar ligger på marken i förgrunden till vänster, till höger en hund. Bakom denna grupp sitter en gubbe och en gumma vid ett tekök. Längst i bakgrunden skymtar den obebyggda Skatudden. Kolorit i gråbrundt på ljus grund med enstaka ljusblå accenter på himlen och den sittande bondens byxor. 39 x 44,5. Signerad Alb. Edelfelt. Hfors - 73. Målad i Helsingfors i början av 1873. Vid Finska Konstföreningens dukattävlan belönad med ""mention honorable"".","""Bland verk ur Edelfelts kvarlåtenskap har några odaterade akvareller föreställande påklädda modeller bevarats. Ryss i lång kaftan, modellstudie (Ateneum) föreställer samma ryska jude i en identisk ställning och klädsel som avbildats i Jude som säljer stövlar. Modellen är porträtterad lutande mot en stav och skuggningen mot väggen, samt det plana modellbordet han står på berättar om hur målningspraktiken gått till."" Marina Catani, Bukowskis, Helsingfors auktion F161, <a href=""https://www.bukowskis.com/sv/auctions/F161/300-albert-edelfelt-jude-som-saljer-stovlar"">300. Albert Edelfelt, Jude som säljer stövlar</a>.","","","2807",""
"55","","","","Skisser efter Rubens och Van Dyck","","Skisser efter verk av Peter Paul Rubens och Anthonis van Dyck utförda på konstmuseet i Antwerpen våren 1874. Edelfelt gjorde åtminstone skisser av Peter Paul Rubens Pietà, Christus nedtagning från korset och St. Francois sista nattvard.","","","2829;2897;2914;2832;2885;2892",""
"56","42","Attilas död","","","Interiör från Attilas bröllopsgemak; hunnerna intränga och finna drottningen lutad över Attilas blodiga lik. Kompositionsteckning i kol, utförd i Antwerpen mars - april 1874. Edelfelts avsikt var att efter denna kartong utföra en oljemålning med omkring 30 cm höga figurer.","","Kol","","2834;2844;2893;2917;2934;2967;2991;2857;2919;16274;2948",""
"57","","","Verlats madonna","Illustration i brev","","Brev till Alexandra Edelfelt 9.2.1874","","","715",""
"58","","","","Illustration i brev","","Tre gossar sovande på provisoriska britsar under concoursen vid akademin i Antwerpen, brev till Alexandra Edelfelt 8.3.1874","","","720;2895",""
"59","43","Alexander den store på dödsbädden","","","I ett stort rum ligger Alexander den store efter att ha tömt ""den dryck hans läkare Philippos givit honom, oaktat han erhållit ett varnande brev"" av Pamenios. Till höger står läkaren med det hopkramade brevet, till vänster tre män. Utom bädden i mitten bestå accesoarerna endast av en vas på golvet bredvid en sköld. Dagmått 85 x 123. Signerad: Albert Edelfelt fecit Antverpiae MDCCCLXXIV. Kartong utförd i april 1874 och prisbelönad vid konstakademiens i Antwerpen tävlan i historisk komposition.","Utförd med början i mars 1874","Kol och svartkrita","","2896;2946;2963;2967;2980;2991;3006;3008;3007;3016;3017;3056;3152;3216;2884;2876;2892;2895;3113","17323"
"60","","","","Gustav II Adolf","","Komposition påbörjad i Antwerpen våren 1874, ett av alternativen Edelfelt övervägde att sända till Finska Konstföreningens utställning i Helsingfors samma år.","","","2918;2991;3018;3171",""
"62","","","","Hackmans beställning","","Beställningen gjord i maj 1874","","","3118;3230;3440;3234;3479",""
"63","47","Studiehuvud i svart och rött","","Förarbete till Rokokodam","Studie till ""Rokokodam"". Bröstbild i fas åt höger av en ung sydländsk kvinna med mörka ögon och svart hår. Svart 1870-tals klänning med ljusblå insats och hög vit krage, ett band av svarta stenkolspärlor kring halsen, guldring i örat, svart hatt med svart plym och vit blomma. Röd bakgrund. Dagmått 45 x 37. Signerad: AE:t mai 1874. Edelfelts sista i Antwerpen, eventuellt första i Paris utförda målning.","Edelfelts första målning i Paris.","","","3139;3286;3188;4184;4186;17323;3119","4704;4153;4171;4211"
"64","","","","Landskapsstudier i St Cloud","","Utförda i juni 1874","","","3164",""
"65","49","Wilhelm von Schwerin på bår","","","Akvarellskiss, målad i Paris i augusti 1874","Scen från 1808 som beskrivs i Fänrik Ståls sägner i dikten Wilhelm von Schwerin. I diktens tre sista strofer beskrivs den scen som Edelfelt återgav:Han hade sitt sextonde år ej nått,På bår ren lagd.Långt var det liv dock, han leva fått,Om liv är bragd.Ack, mången grånat i ärans glans,Som fäst med glädje sin strålande kransPå den femtonåriges hjässa,Om i byte han vunnit hans. Han hade sitt sextonde år ej nått, Ja, ung han dog; Dock sörjde en blödande här hans lott, Själv prövad nog; Dock stod kring hans läger i tyst förbund Av krigets ädlaste kämpar en rund, Och vad för de tappre han varit, Det syntes i denna stund: Ej veklig klagan, blott saknad tung, Blott sorg var spord. Till hjältens ära, som dog så ung, Ej föllo ord; Men Vegesack prisade livets vår, Och Adlercreutz smekte den bleknades bår, Och ur Druva såg man pressas Rart vin — en stor, klar tår.Edelfelt återkom till temat senare och målade  hösten 1893 den döde Wilhelm Schwerin för bokverket ""Finland i 19:de seklet"".Scenen har återgetts också av andra konstnärer. Helene Schjerfbeck, som 1886 i Paris deltog i arbetet med att måla en replik av Edelfelts porträtt av Louis Pasteur, målade samma år Wilhelm von Schwerins död. Hon återvände till temat 1927.","Akvarell","","3171;3183;3236;3314;5454;3233",""
"66","","","","Stilleben","","Målat i Gérômes ateljé i månadsskiftet juni-juli 1874.","","","3211",""
"67","45","Modellstudie av en sittande naken gubbe","","","En gammal man med långt grått hår och stort helskägg, knäfigur vänd åt höger. Mörk fond. 45 x 37. Signerad: AE juillet 74. Akademistudie från Gérômes ateljé.","Enligt Hintzes proveniens identisk med ""Brummers beställning"". Edelfelt har helt enkelt gett en av sina studiearbeten åt familjen Brummer, som minne av deras Parisvistelse, så som beställningen lydde.","","","3223;3237;4065;4153;4163;16671;3234;3225;4017;4171;4184;4211;4245","4186"
"68","","","","Illustration i brev","","Människor i Paris ur olika sammanhang: bl.a. M. Melon, den egyptiska paschan Demirgian, Mr Fuchs, kyparen Michel, konstnärer: Madrès, le comte de Nouij, Campagnol, fransk soldat; brev till Alexandra Edelfelt 21.7.1874","","","743",""
"69","","","","Stilleben","","I juli 1874 nämns planer på att måla ett stilleben tillsammans med Chevrenil, en elev från Gérômes ateljé.","","","3270",""
"70","","","","Illustration i brev","","Bassan; brev till Alexandra Edelfelt 4.8.1874","","","746",""
"71","","","","Illustration i brev","","Peyrot, Mac Allan Swan, Johnson, Weir, Bowin, Dufaut Marser, Contensin, Stewart, Petua, Duvergnier; brev till Alexandra Edelfelt 4.8.1874.","","","3291",""
"72","","","","Solfjäder","","Osäkert om solfjädern någonsin blev dekorerad","","","3306;3307",""
"73","","","","Illustration i brev","","Skiss till Wilhelm von Schwerin på bår; brev till Alexandra Edelfelt 19.8.1874.","","","3315;3355",""
"74","","","","Porträtt av Rothstein","","porträtt som Edelfelt lovat teckna av polacken Rothstein i september 1874","","","3373",""
"75","50","Jägarfäktning i en tallskog","","","Skiss med motiv från 1808–1809 års krig, målad i Paris i september 1874.","Edelfelt övervägde att måla tavlan tillsammans med Berndt Lindholm.","","","3388;3442;3233",""
"76","","","","Studier i Louvren","","Utförda i september 1874.","","","3399",""
"77","48","Självporträtt","","","Bröstbil i fas åt höger av en ynglig med högburet huvud, blå ögon och  mörkt, på de starkast belysta ställena gråskiftande hår. Gråblå rock och vit dubbelkrage. Ljus från vänster. Grå fond. Rentoilerad 1926. 49,8 x 40 (före rentoileringen 49 x 39). Signerad A. Edelfelt Paris 1874. Målat i Paris augusti–september 1874. Antecknat på baksidan av den nya duken: ""Albert Edelfelts porträtt ramponerat under röda upproret i Heinola. Restaurerat 1926 av Eric O. W. Ehrström.""","Påbörjat i september 1874.","","","3410;3418",""
"78","","","","Illustration i brev","","Nilsson och Gerle; brev till Alexandra Edelfelt 24.9.1874.","","","3433",""
"79","","","","Älskande par i medeltidsdräkt","","","Akvarell","","3441",""
"80","","","","Illustration i brev","","Bottenplan av nya logiet, utsikten från fönstret; brev till Alexandra Edelfelt 1.10.1874.","","","755;3452",""
"81","","","","Lydia, bildskön kvinna","","Påbörjad i början av november 1874, men blev troligen aldrig genomförd eftersom modellen blev sjuk.","","","3534;3550;3557",""
"83","","","","Illustration i brev","","Efter Sveaborgs kapitulation; brev till Alexandra Edelfelt 6.11.1874.","","","763;3558",""
"84","51","Efter Sveaborgs kapitulation","","","Ofullbordad studie med ett vinterlandskap i aftonbelysning. På en strand i förgrunden till vänster sitter en finsk soldat och lyfter till avskedshälsning sin hand mot Sveaborg, som syns i bakgrunden till höger omgivet av is. Bredvid honom står en annan soldat med ryggen mot fästningen och knutna nävar. På den gråblå, molnhöljda himlen ett rosafärgat skimmer av den nedgående solen. 22 x 30. Målad i Paris hösten 1874.","Motivet börjat i början av november 1874. Edelfelt återkom till detta motiv i början av år 1877, då han var missnöjd med Drottning Blanka. Han menade att han för följande tavla ville måla studier i Finland i lugn och ro. Albert Edelfelt till Alexandra Edelfelt 23.2.1877.","","","3557;5449;5451;3233;3558;3550;5294;5211",""
"85","52","Scen ur ""Regina von Emmeritz""","","","Scen från år 1630. Kring ett bord på borggården i ett tyskt slott sitter ett tiotal finska soldater vid ett dryckeslag. En soldat till vänster springer upp och utbringar sin skål ""Den första bägaren, hurra, kamrater, skall Finland ha!"" Färgskiss (till en icke utförd akvarell), målad i Paris hösten 1874.","","","","3720;3557;3674;3550;4152",""
"87","63","Barnporträtt av Konstnären Berndt Lindholms son Ragnar","","","Oljemålning, utförd i Paris december 1874 – januari 1875. Refuserad på Salongen 1875. Tillägg: I en mörk karmstol sitter målaren Berndt Lindholms lille son med en Kasperdocka i vänstra handen; halvfigur i helfas. Han har ljusgult hår, dräkt i ljusrött och svart samt vitt förkläde. Dockan i klara, röda och blå toner. Mörk bakgrund, skiftande i lila. 47 x 39. Signerad A. Edelfelt.","","Olja","","3675;3748;3760;3814;3845;3893;3963;3983;3987;4051;4065;4153;4171;4186;4211;3747;3778;3991;4000;3999;4054",""
"88","","","","Dubbelporträtt av Alexandra och Ellen Edelfelt","","Planer på att göra ett dubbelporträtt av Alexandra och Ellen Edelfelt då Edelfelt återvände från Paris hösten 1875.","","","3695;4404",""
"89","135","Läsande parisiska II","La roman à la mode","Antells beställning","Förändrad replik av föregående. På en blott delvis synlig divan sitter en ung brunett – modellen Virginie – lutad mot en rödbrun kudde. Knäfigur i fas åt vänster, iklädd rosafärgad sidenklänning med vit spetskrage och vita manschetter. I händerna en uppslagen bok. På väggen bakom divanen är ett ljusgult, japanskt sidendraperi med broderade blommor och blad i grönt, blått och rosa. Längst till höger några stora, mörkgröna, flikformade blad. 80 x 99. Signerad A. Edelfelt 1880. Målad i Paris hösten 1880 – möjligen påbörjad där redan juni–juli samma år – på beställning av Tooths Gallery, London, men given i Paris hösten 1880 åt Med. dr. F. Antell för en beställning från december 1874. Tooths Gallery erhöll sannolikt den föregående varianten av samma komposition.Testamenterad 1893 av Dr. F. Antell till Finska Staten.","Målad för H. F. Antell i Paris i januari–april 1880.Hintze har förväxlat ""Läsande parisiska"" I och II.Det verk som Hintze benämner med nummer II är i verkligheten det första, målat i Paris i januari–april 1880 för H. F. Antell. Hintze nämner att denna version är målad samtidigt som Gunnar Berndtsons ""Parisiska"". Berndtson anlände till Paris först 17.3.1880 (brev till Alexandra Edelfelt 16.3.1880) och fanns inte på plats under största delen av den tid då Edelfelt målade den första versionen av ""Läsande parisiska"".Det verk som Hintze benämner nummer I är målat från och med andra hälften av juni 1880 på beställning av Tooth i London. Edelfelts och Berndtsons ""Parisiska"", som torde vara identisk med ""Ja – nej, vilostund i ateljén"", har många likheter, främst fonden och modellens dräkt, vilket gör att de ska dateras till samma tidpunkt, som enligt Edelfelts brev till Alexandra Edelfelt är sommaren 1880.Enligt detta är dateringen 1879 för Berndtsons ""Ja - nej, vilostund i ateljén"" i utställningspublikationen ""Gunnar Berndtson - salongsmålare"" (Åbo Konstmuseum, 1998) felaktig. ","","","3754;4081;4242;5980;8152;8292;8309;8325;8414;8472;8506;8526;8546;8548;16932;4258",""
"90","","","","Finsk pojke på skidor","","Ritad i Sarah Austins album i januari 1875.","","","3836;4007;3797",""
"91","65","Kvinnorygg","","","Akademistudie, sannolikt i halv naturlig storlek, målad i februari 1875 i Gérômes ateljé.","","","","3839;3890;4065;4163;4153;4171;4184;4211;4245",""
"92","","","","Skiss till barnporträtt","","Realiserades inte då den tilltänkta barnmodellen inte var på plats i Clichy i februari 1875.","","","3866",""
"93","","","","Levins beställning","","I februari 1875 bad Oskar Levin sin dotter Viola hälsa att han önskade en kopia av en genretavla på Luxembourgpalatset i Paris.","","","3888",""
"94","64","Efter drabbningen","","","Skiss med motiv från 30-åriga kriget. I förgrunden av ett slagfält i skymning böjer sig en ryttare ned över en stupad fanbärare, vars lik delvis är höljt av en trasig blå-gul fana. På en låg kulle i fonden avtecknar sig siluetterna av några soldater mot en brandgul himmel. 28 x 38. Målad i Paris i januari–februari 1875.","","","","3840;3860;3924;4018;3843",""
"95","44","Modellstudie av en gosse","","","Midjebild av en ung naken gosse med mörkt lockigt hår och mörka ögon (samma modell som i ""Flöjtspelande gosse"" nr 56). Kroppen i helfas, huvudet vänt åt höger. Vänstra armen upplyftad, den högra nedhängande. Signerad AE juin 1874. Målad i Gérômes ateljé.","","","","3890;4065;4153;4163;3168;3183;3188;3191;4171;4184;4211;4245",""
"97","54","Manlig modellstudie","","","Helfigur av en stående naken man, sedd från ryggen. Armarna nedhängande. Mörk, olikgrön fond. 73 x 54. Signerad AE octobre -74. Akademistudie, målad i Gérômes ateljé.","Troligen målad under concoursen, inträdestävlingen, till aftonskolan för naken modell i École des Beaux-Arts, oktober 1874.","","","3890;3920;4065;4153;4163;16920;3526;3903;4171;4184;4211;4245",""
"98","55","Kvinnlig modellstudie","","","Ung stående naken modell med ett vitt draperi kring höfterna. Halvfigur. Olivgrön bakgrund. 79,5 x 64. Signerad AEt. Novembre -74. Akademistudie, målad i Gérômes ateljé.","","","","3890;3920;4065;4153;4163;3625;3641;3903;3618;4171;4184;4186;4211;4245","17323;4704"
"99","56","Flöjtspelande gosse","","","På en stenmur i en trädgård med mörk grönska sitter en brunhyad naken yngling spelande flöjt; helfigur i helfas. Till höger några stora blommor. Kolorit i gråbrunt. 79 x 58. Signerad AE Décembre 1874. Målad i Paris.","","","","3890;3902;3920;4065;4153;4163;3676;3903;4171;4184;4186;4211;4245",""
"100","57","Manlig modellstudie","","","Halvfigur av en yngre naken man i fas åt vänster med gulbrun hudfärg, mörkt hår och smala mustascher. Olivgrön fond. På kilramen intyg av Fröken Berta Edelfelt samt anteckning med rödkrita ""Paris 1874"". 30 x 28. Akademistudie målad i Gérômes ateljé.","","","","4065;4153;4163;4171;4184;4211;4245","3575;3602;3618;3716;17323"
"101","57a","Gubbe med skägg","","","En gammal man med naken överkropp, yvigt skägg och långt gråbrunt hår, bröstbild i profil åt höger. Brun fond. 41 x 33. Målad sannolikt 1874 i Paris.","","","","4065;4153;4163;4171;4184;4211;4245","3575;3602;3618;3716;17323"
"102","58","Manlig modell med svärd i handen","","","Sittande naken yngling med ett brunt och vitt draperi över benen. Med bägge händern håller han ett kort, blodigt svärd, som ligger över knäna. Gulbrun karnation med mörk, grå och brun fond. 89 x 71. Antecknat på kilramen (ej Edelfelt): A. Edelfelt. Studie 1874. Akademistudie, målad i Gérômes ateljé.","Tavlan är möjligen målad redan på konstakademien i Antwerpen i början av 1874 och modellen densamma som finns på skisser daterade 1873 och Anvers, 5/1 1874. I brev från 8.1.1874 står det att en tidigare konststudent Van den Bergh sagt att Edelfelt blir bra bara han undviker de ""smutsiga tonerna i öfvergångarne"". Beträffande ""smutsigheten"" skriver Edelfelt 2.2.1874 att hans vän Sidney Adams ""menade att smutsigheten i mina ljuspartier kommer av att jag använder alldeles för små penslar, och råddar hela färgskalan på en punkt där han ej såg mera än en färgton"". På nakenstudierna från Paris verkar han ha fått bukt på ""smutsigheten"", de är i jämförelse klarare och enklare i ljuspartierna.De bruna och vita skynkena kring höften återkommer på andra nakenstudier från Antwerpen. Se H30, H39, samt H59.","Olja på papper, uppfodrat på duk","","4065;4153;4163;2717;4171;4184;4211;4245","3602;2725;2735;2807;17323"
